449,350,264,374,821,809,403,955,116,276,881,385,446,887,751,402,104,287,334,362,
463,899,555,318,329,171,932,816,620,997,258,774,315,909,490,905,766,588,48,220,
641,833,579,358,519,662,654,711,144,700,468,648,151,736,937,906,978,630,376,319,
761,399,947,926,733,975,476,842,63,540,458,685,902,471,912,137,827,923,576,109,
633,597,52,486,684,567,835,631,814,695,221,492,564,268,539,853,452,97,743,933,
502,410,242,335,628,810,396,573,414,241,800,120,295,134,554,770,737,896,432,864,
196,308,39,561,823,820,305,981,69,231,621,355,968,461,870,388,54,521,928,826,
302,188,472,409,636,359,147,140,514,266,667,615,178,931,336,965,464,454,323,135,
245,346,482,836,141,333,822,142,907,15,282,504,494,584,828,181,848,563,418,271,
354,717,13,68,17,585,344,701,646,244,642,664,720,213,854,217,6,738,927,769,
367,392,352,4,571,506,993,938,673,501,243,565,618,64,998,538,980,456,593,382,
118,729,832,649,687,984,250,608,62,428,66,296,583,47,222,719,625,198,873,868,
309,632,780,775,170,20,415,885,808,327,683,890,139,304,406,85,386,105,186,408,
692,106,71,792,712,884,253,988,550,534,389,93,942,898,849,612,528,702,779,857,
348,372,782,18,61,994,345,520,459,281,239,598,799,297,21,95,533,859,772,537,
445,340,581,813,545,167,990,689,728,212,113,762,611,483,645,880,950,426,159,425,
496,526,837,623,763,462,553,401,697,760,715,200,886,966,112,300,531,830,532,16,
49,124,238,322,373,223,972,73,803,901,256,677,204,940,465,508,470,176,55,12,
156,177,437,922,487,299,657,214,235,230,312,469,825,1,773,987,560,626,467,422,
218,591,313,602,41,292,123,503,5,785,387,206,145,871,34,818,805,294,98,811,
668,962,595,516,634,846,653,876,76,45,895,804,163,88,280,964,14,678,840,210,
749,706,924,844,911,783,982,155,592,226,330,74,580,288,269,807,562,423,522,985,
183,175,438,974,338,168,658,377,290,544,274,153,30,610,867,644,781,57,524,894,
19,27,2,152,900,60,829,771,90,713,897,746,793,699,716,569,400,111,224,439,
872,754,91,442,681,390,228,758,138,865,960,971,995,953,182,889,314,249,208,394,
704,652,575,600,845,146,874,72,794,722,798,691,869,383,862,107,248,489,764,26,
436,380,166,272,523,979,441,904,8,536,787,252,108,605,941,191,36,951,9,50,
158,958,680,251,225,925,707,559,759,236,179,291,257,474,732,622,381,365,547,126,
240,552,992,525,599,283,455,957,77,708,815,356,617,795,891,161,149,515,518,122,
892,211,616,343,999,51,690,337,270,682,541,379,619,647,96,930,195,730,180,604,
796,484,94,261,882,169,11,23,485,714,949,961,847,696,35,229,22,915,289,129,
603,635,150,148,128,246,420,286,512,893,505,277,311,419,744,601,157,37,914,265,
127,209,627,954,963,136,726,650,293,237,946,606,861,756,347,227,203,916,475,509,
56,614,530,7,948,638,473,723,351,812,734,952,411,479,637,67,86,207,81,660,
590,970,976,883,25,742,577,935,267,101,753,665,42,317,79,59,797,404,199,413,
284,368,656,192,750,959,444,477,725,320,834,495,694,721,934,478,786,788,360,339,
594,184,582,375,860,983,416,943,778,279,851,430,776,393,395,298,659,100,342,956,
233,688,202,80,921,43,666,945,969,301,78,28,255,703,944,757,366,82,819,216,
132,801,918,850,607,755,546,480,40,44,917,219,215,855,789,710,824,443,831,698,
427,613,663,278,939,164,913,46,89,841,748,670,548,173,535,457,488,451,557,434,
838,549,92,596,977,527,568,31,802,929,724,936,10,263,447,371,38,513,369,856,
310,661,491,643,370,114,185,784,397,285,349,739,247,558,507,275,133,566,154,752,
131,58,996,391,84,197,0,110,384,967,629,879,187,3,326,273,174,160,448,75,
718,102,205,328,768,316,87,989,70,745,190,817,693,303,353,674,481,731,53,412,
543,551,686,852,639,232,130,29,572,201,727,453,741,24,325,498,332,83,260,460,
790,920,417,499,510,440,143,986,321,165,497,259,624,262,586,863,99,431,556,32,
189,747,529,307,194,363,193,450,839,858,910,651,903,669,791,466,517,973,405,234,
306,709,740,357,655,33,424,115,705,888,324,578,119,542,429,500,125,672,589,162,
679,331,172,398,866,117,65,254,587,103,609,843,511,364,735,407,493,574,676,806,
435,675,777,919,877,767,671,570,378,875,361,640,433,991,121,341,908,421,878,765,
