875,503,499,744,263,888,813,982,23,414,399,55,153,135,537,200,749,281,222,704,
695,362,429,449,17,782,623,331,238,241,163,518,454,673,869,581,288,164,530,455,
385,540,841,398,181,900,212,723,671,728,644,265,680,898,173,492,94,329,605,172,
835,37,750,347,761,457,514,364,599,118,410,148,926,978,167,873,711,114,60,171,
464,202,439,662,390,827,656,368,348,939,64,82,580,251,90,616,600,572,137,169,
67,260,745,53,934,97,891,24,224,598,11,819,273,356,647,689,19,58,500,775,
614,778,789,781,72,504,954,547,436,95,158,237,824,901,320,648,931,404,68,395,
942,919,520,495,28,576,466,4,108,609,548,289,272,373,335,924,303,170,969,192,
450,531,971,396,645,697,311,418,625,904,950,588,76,995,828,5,837,119,125,43,
332,780,660,363,25,951,405,39,391,917,198,892,818,51,947,861,152,984,120,564,
69,442,326,541,911,549,642,227,121,857,301,702,491,376,717,256,276,735,382,437,
591,786,142,845,406,574,488,452,417,539,339,62,715,162,359,797,465,624,941,943,
46,486,357,957,444,345,161,493,852,763,476,945,731,325,271,56,91,344,261,106,
575,993,973,997,338,604,641,936,484,688,87,565,615,743,262,909,230,913,718,425,
579,870,360,146,760,865,747,75,267,401,620,318,627,467,463,946,699,746,751,257,
216,411,635,453,124,92,178,213,122,983,244,710,807,631,184,795,29,752,669,999,
225,701,478,896,30,236,206,612,14,636,403,22,300,322,409,972,20,100,219,194,
949,123,804,764,872,302,278,27,447,497,190,462,544,299,567,130,737,876,50,7,
113,166,420,791,862,639,422,48,127,107,367,826,77,151,928,18,948,86,601,667,
556,52,677,543,3,832,961,351,707,313,21,569,628,358,587,233,759,801,938,595,
713,552,287,962,511,622,205,168,736,421,104,441,496,80,907,509,964,293,38,252,
239,461,295,512,847,590,141,507,250,101,279,968,150,716,458,767,887,675,40,793,
315,275,773,691,446,987,208,189,217,823,727,785,79,592,998,522,2,929,49,111,
342,479,354,979,102,720,956,568,145,932,602,967,215,412,886,914,129,269,203,550,
637,9,769,408,392,589,800,468,133,889,856,323,877,977,726,685,226,694,341,483,
490,560,131,863,573,415,292,45,506,607,305,681,365,866,709,646,960,324,78,734,
820,154,788,197,282,753,440,47,527,611,41,327,965,895,245,640,235,538,510,546,
933,830,183,84,809,959,228,976,384,776,846,798,308,353,517,762,297,879,371,343,
722,854,156,921,654,682,777,81,633,583,372,770,653,885,758,729,370,99,903,264,
93,684,893,283,247,958,199,981,994,110,177,451,85,742,103,196,617,741,632,963,
328,280,248,989,33,533,557,784,220,858,98,388,502,649,740,794,475,554,853,665,
277,796,258,234,610,952,218,505,659,966,270,149,871,443,868,991,427,330,545,658,
566,912,346,757,210,136,377,838,433,706,571,719,378,285,383,738,83,480,529,71,
126,115,988,799,766,209,310,652,489,334,842,337,894,844,12,771,692,314,703,940,
578,902,732,242,953,890,944,375,402,140,88,831,61,880,96,0,864,407,816,515,
387,613,980,582,128,996,286,535,214,756,65,686,16,561,249,698,618,116,986,593,
843,143,434,672,955,445,657,481,477,930,519,577,435,562,630,975,426,822,638,460,
634,817,42,748,874,204,485,528,990,268,274,473,815,112,147,643,683,792,294,109,
712,35,361,160,44,851,240,690,374,542,231,138,906,211,525,482,974,739,696,833,
806,596,970,849,187,668,6,555,266,850,629,524,772,881,551,730,532,925,175,821,
651,626,296,526,859,188,650,31,803,779,676,708,920,790,516,860,430,34,534,848,
765,918,678,312,336,201,836,36,498,840,139,884,57,700,812,369,432,419,456,693,
935,32,459,814,134,897,394,787,585,768,191,597,89,469,905,176,15,13,922,386,
608,223,232,992,494,304,802,66,423,117,105,621,805,811,291,725,908,883,221,619,
63,825,229,655,155,448,559,132,350,70,298,586,255,664,705,937,855,195,724,679,
157,810,307,400,927,165,783,603,321,808,714,594,774,246,471,59,397,186,207,923,
380,666,916,670,185,878,899,352,915,474,159,389,26,306,349,355,259,558,290,424,
253,513,182,416,839,521,472,333,319,910,193,393,174,254,10,606,508,54,755,523,
687,829,584,563,309,570,663,733,243,413,438,470,379,74,144,754,553,721,867,179,
73,381,487,428,1,985,501,340,317,834,316,366,8,284,536,882,180,661,431,674,
