  96  219  209  295  346  350  346  295  209  219  96
  219  220  260  251  277  226  277  251  260  220  219
  209  260  250  247  239  270  239  247  250  260  209
  295  251  247  238  208  202  208  238  247  251  295
  346  277  239  208  178  184  178  208  239  277  346
  350  226  270  202  184  216  184  202  270  226  350
  346  277  239  208  178  184  178  208  239  277  346
  295  251  247  238  208  202  208  238  247  251  295
  209  260  250  247  239  270  239  247  250  260  209
  219  220  260  251  277  226  277  251  260  220  219
  96  219  209  295  346  350  346  295  209  219  96
